disease_name,cure_method,cure_department,cure_probability
老年人肥胖症,"['饮食治疗', '运动治疗', '中药治疗', '药物治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",85%
遗传性抗凝血酶Ⅲ缺乏症,"['药物治疗', '支持性治疗']","['内科', '血液科']",40%
纤维肌痛综合征,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '风湿免疫科']",80%
前庭功能紊乱,"['药物治疗', '支持治疗', '手术治疗']",['精神科'],80%
遗传性良性上皮内角化不良,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
老年人肺癌,"['手术治疗', '药物治疗', '介入治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",本病一般发现后通过手术放化疗等技术治疗，5年生存率在30%左右
筛窦炎,['急性炎症药物治疗为主，慢性炎症可手术治疗'],"['五官科', '耳鼻喉科']",多数经治疗可治愈
纤维毛囊瘤,"['手术治疗', '药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%
遗传性凝血酶原缺乏,"['药物治疗', '支持性治疗']","['内科', '血液科']",80%
老年人肺结核,"['抗结核治疗', '支持性治疗', '手术治疗', '心理治疗']",['传染科'],60%
纤维性骨炎,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '骨外科']",40%
上颌窦炎,"['药物治疗', '支持性治疗', '物理治疗', '手术']","['五官科', '耳鼻喉科']",90%
遗传性凝血因子Ⅴ缺乏症,"['药物治疗', '支持性治疗']","['内科', '血液科']",30%
老年人肺结核病,"['抗结核治疗，', '对症治疗，支持性治疗']",['传染科'],70-80%
腺性唇炎,"['药物治疗', '支持性治疗']","['五官科', '口腔科']",55-65%
遗传性凝血因子Ⅶ缺乏,"['药物治疗', '支持性治疗']","['内科', '血液科']",40%
老年人肺脓肿,"['药物治疗', '内科治疗', '支持性治疗']","['内科', '呼吸内科']",70%
相对性红细胞增多症,"['药物治疗', '支持性治疗']","['内科', '血液科']",95%
不均匀性脂肪肝,"['药物治疗', '对症治疗', '康复治疗']","['内科', '消化内科']",90%
遗传性凝血因子ⅩⅢ缺乏,"['药物治疗', '支持性治疗']","['内科', '血液科']",无法根治
小儿牛皮癣,"['药物治疗', '对症治疗', '支持治疗']","['皮肤性病科', '皮肤科']",70%
遗传性凝血因子Ⅹ缺乏,"['药物治疗', '支持性治疗']","['内科', '血液科']",无法根治，终身补充凝血因子治疗
小肠纤维瘤,"['手术治疗', '药物治疗', '康复治疗']","['肿瘤科', '肿瘤外科']",80%
老年人肺气肿,"['药物治疗', '内科治疗', '支持性治疗', '康复治疗']","['内科', '呼吸内科']",60%
小儿急性呼吸窘迫综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",80%
遗传性凝血因子Ⅺ缺乏,"['药物治疗', '支持性治疗']","['内科', '血液科']",无法根治
老年人肺栓塞,"['药物治疗', '介入治疗', '支持性治疗', '手术治疗']","['内科', '心内科']",80%
遗传性球形红细胞增多症,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '血液科']",10%
肺燥,"['中医治疗', '支持性治疗']","['内科', '呼吸内科']",90%
小儿食管化学性烧伤,"['康复治疗', '支持性治疗']","['儿科', '儿科综合']",93%
老年人肺心病,"['药物治疗', '支持性治疗', '康复治疗']","['内科', '心内科']",70%
遗传性铁粒幼细胞性贫血,"['药物治疗', '支持性治疗']","['内科', '血液科']",30%
小脑扁桃体下疝畸形,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '神经外科']",80%
老年人肺性脑病,"['药物治疗', '内科治疗', '支持性治疗']","['内科', '神经内科']",50%
肠胃型感冒,"['抗病毒治疗', '对症治疗', '支持治疗']","['内科', '消化内科']",95%
新生儿低镁血症,"['病因治疗', '药物治疗', '支持性治疗']","['儿科', '小儿内科']",99%
肺热,"['中医治疗', '支持性治疗']","['内科', '呼吸内科']",90%
遗传性椭圆形红细胞增多症,"['药物治疗', '支持性治疗']","['内科', '血液科']",40%
新生儿流行性腹泻,"['药物治疗', '支持性治疗', '对症治疗']","['儿科', '小儿内科']",95%
肺寒,"['中医治疗', '支持性治疗']","['内科', '呼吸内科']",90%
新生儿脓疱疮,"['药物治疗', '支持性治疗']","['儿科', '小儿外科']",80%
老年人肺炎,"['抗菌药物治疗', '对症治疗', '综合治疗', '并发症治疗']","['内科', '呼吸内科']",治愈率80%
遗传性纤维蛋白原缺乏症,"['药物治疗', '支持性治疗']","['内科', '血液科']",40%
跟痛症,"['中医治疗', '支持性治疗']","['外科', '骨外科']",60%-70%
猩红热样红斑,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
老年人分水岭脑梗死,"['对症治疗', '康复治疗']","['内科', '心内科']",40--60%
遗传性异常纤维蛋白原血症,"['药物治疗', '支持性治疗']","['内科', '血液科']",60%
安卡性肾炎,"['药物治疗', '支持性治疗']","['内科', '泌尿内科']",60%
性心理障碍,"['心理治疗', '药物治疗']",['心理科'],70%
癣菌疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%
血管畸形引起的吞咽困难,"['手术治疗', '支持性治疗']","['外科', '心胸外科']",80%
甲状腺囊肿,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",99%
血管内乳头状血管内皮细胞瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",40%
老年人风湿性心脏病,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '心内科']",10%
小儿口腔溃疡,"['药物治疗', '支持治疗']","['外科', '普外科']",90%
血管神经性水肿,"['药物治疗', '支持性治疗']","['内科', '神经内科']",90%
老年人腹主动脉瘤,['手术治疗'],"['内科', '心内科']",外科手术治愈率约为65-75%
倒经,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",69%
酸中毒,"['药物治疗', '对症治疗']","['其他科室', '其他综合']",90%
血管纤维瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",92%
遗传性硬化性皮肤异色症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",20%
雅司病,"['药物治疗', '支持性治疗']",['传染科'],70%
膀胱囊肿,"['支持性治疗', '手术治疗']","['外科', '泌尿外科']",99.9%
咽囊炎,"['药物治疗', '手术治疗', '支持性治疗']","['五官科', '耳鼻喉科']",60%
手指撕脱性骨折,"['康复治疗', '支持性治疗']","['外科', '骨外科']",90%
言语和语言发育障碍,"['心理治疗', '药物治疗', '康复治疗']","['儿科', '儿科综合']",50%
遗传性运动失调性多发性神经炎,"['药物治疗', '支持性治疗']","['内科', '神经内科']",70%
老年人钙化性瓣膜病,"['药物治疗', '手术治疗']","['内科', '心内科']",30--50%
乙型肝炎病毒相关性肾炎,"['药物治疗', '支持性治疗']",['肝病'],30%
老年人肝性脑病,"['内科治疗', '药物治疗', '手术治疗', '对症治疗', '康复治疗']","['内科', '消化内科']",治愈率65%
乙型肝炎病毒性关节炎,"['药物治疗', '支持性治疗']","['外科', '骨外科']",30--50%
眼睑皮脂腺癌,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '眼科']",40%
乙型肝炎抗原血症,"['药物治疗', '支持性治疗', '手术治疗']",['肝病'],80%
老年人肝硬化,"['药物治疗', '对症治疗', '支持性治疗', '康复治疗']",['肝病'],75%
心脏瓣膜关闭不全,"['药物治疗', '对症治疗', '手术治疗']","['内科', '心内科']",70%
乙状结肠扭转,"['手术治疗', '药物治疗', '康复治疗']","['外科', '普外科']",70%
梭形细胞肿瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",45%
眼球后退综合征,"['手术治疗', '支持性治疗']","['五官科', '眼科']",60%
乙状结肠造口旁沟疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",90%
眼球内炎,"['药物治疗', '支持性治疗']","['五官科', '眼科']",80%
间歇性斜视,"['药物治疗', '对症治疗', '康复治疗']","['五官科', '眼科']",90%
老年人感染性休克,"['对症治疗', '药物治疗', '支持性治疗']",['急诊科'],60%
异常γ-球蛋白血症,"['药物治疗', '支持性治疗']","['内科', '血液科']",50%
眼球运动障碍,"['药物治疗', '支持性治疗']","['内科', '神经内科']",80%
老年人高钙血症,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '内分泌科']",95%
异色性虹膜睫状体炎,"['药物治疗', '支持性治疗', '手术治疗']","['五官科', '眼科']",80%
老年人高钾血症,"['对症治疗', '药物治疗', '支持性治疗']",['急诊科'],75%-85%
腰部峡部崩裂和脊椎滑脱,"['药物治疗', '支持性治疗']","['外科', '骨外科']",30%
便秘性结肠炎,"['药物治疗', '支持性治疗', '物理治疗', '中医中药', '大肠水疗']","['内科', '消化内科']",98%
异物伤,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '眼科']",80%
腰椎退变性小关节损伤性关节炎,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",30%
老年人高钠血症,"['对症治疗', '药物治疗', '支持性治疗']",['急诊科'],70%
异物性食管穿孔,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '心胸外科']",60%
抬头纹,['支持性治疗'],"['皮肤性病科', '皮肤科']",45%
药物导致的肺部疾病,"['停药', '对症治疗', '支持性治疗']","['内科', '呼吸内科']",85%
老年人高渗性非酮症糖尿病昏迷,"['对症治疗', '药物治疗', '支持性治疗']",['急诊科'],35%
角膜损伤,"['药物治疗', '对症治疗', '康复治疗']","['五官科', '眼科']",90%
阴部神经干痛,"['康复治疗', '支持性治疗', '手术治疗']","['外科', '骨外科']",65%
腋毛癣菌病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",55%
老年人高血压,"['药物治疗', '对症治疗', '支持性治疗', '康复治疗']","['内科', '心内科']",50%
阴道白斑,"['药物治疗', '支持性治疗', '手术治疗']","['妇产科', '妇科']",治愈率87%
新生儿消化不良,"['药物治疗', '对症治疗', '支持治疗']","['儿科', '小儿内科']",95%
原发性皮肤结核综合征,"['药物治疗', '支持性治疗']",['传染科'],60%
老年人高血压危象,"['对症治疗', '药物治疗', '康复治疗', '支持性治疗']","['内科', '心内科']",75%
头皮痣,['手术治疗'],"['皮肤性病科', '皮肤科']",75%
阴道壁息肉,"['手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",95%
衣原体淋巴肉芽肿,"['药物治疗', '支持性治疗']","['皮肤性病科', '性病科']",30%
老年人高脂血症,"['药物治疗', '饮食治疗', '运动']","['内科', '心内科']",85%
阴道恶性苗勒管混合瘤,"['药物治疗', '支持性治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",外科手术治愈率约为40-60%
陈旧性肺结核,['支持性治疗'],"['内科', '呼吸内科']",100%
胰岛素抵抗与代谢综合征,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",10%(控制血糖为主，完全治愈不足10%)
遗传性出血性毛细血管扩张,"['药物治疗', '支持性治疗']","['内科', '血液科']",20%
老年人梗阻性肾病,"['对症治疗', '手术治疗', '药物治疗', '支持性治疗']","['外科', '泌尿外科']",60%
溃疡性口腔炎,"['药物治疗', '对症治疗']","['五官科', '口腔科']",90%
老年人骨关节炎,"['中药治疗', '药物治疗', '手术治疗', '康复治疗', '支持性治疗']","['内科', '风湿免疫科']",78%
透明隔囊肿,['手术治疗'],"['外科', '神经外科']",90%
阴道鳞状上皮癌,"['化学治疗', '手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",70%
乙状结肠间疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",65%
老年人骨髓增生异常综合征,"['药物治疗', '放射性治疗', '支持性治疗']","['内科', '血液科']",60%
牙齿过敏,"['药物治疗', '对症治疗', '支持治疗']","['五官科', '口腔科']",95%
阴道蚂蟥叮吸,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",80%
阴道内胚窦瘤,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",1%
异染性脑白质营养不良,"['药物治疗', '支持性治疗']","['内科', '神经内科']",75%
秃顶,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",25%
阴道平滑肌肉瘤,"['化学治疗', '手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",40%
弗郎西丝菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",40%
慢性病毒性肝炎,"['保肝抗炎治疗', '对症治疗', '支持性治疗', '抗病毒治疗']",['肝病'],巨细胞病毒和EBV肝炎多治愈，慢性丙肝80%治愈，慢性乙肝抗病毒95%有效
老年人骨质疏松,"['支持性治疗', '康复治疗']","['外科', '骨外科']",50%
阴道前壁膨出,"['手术治疗', '支持性治疗']","['妇产科', '妇科']",92%
异源内分泌综合征,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",外科手术治愈率约为50-60%
黄斑病变,"['手术治疗', '支持治疗']","['五官科', '眼科']",80%
阴道上皮内瘤样变,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",75%
阴部鲍恩样丘疹病,"['药物治疗', '支持性治疗']","['皮肤性病科', '性病科']",75%
胆囊囊肿,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '肝胆外科']",99%
阴道嗜血杆菌性阴道炎,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",95%
阴道粒细胞肉瘤,"['药物治疗', '手术治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",65%
老年人过敏性紫癜,"['中药治疗', '药物治疗', '对症治疗', '支持性治疗']","['内科', '血液科']",50%
砣疣,['药物治疗'],"['皮肤性病科', '皮肤科']",89%
阴道腺癌,"['手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",30%
阴道美丽筒线虫病,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",80%
老年人呼吸衰竭,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '呼吸内科']",35%
地高辛中毒,"['药物治疗', '支持性治疗']","['内科', '心内科']",90%
阴道腺病,"['手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",60-70%
老年人呼吸性酸中毒,"['对症治疗', '药物治疗', '支持性治疗', '康复治疗']","['内科', '呼吸内科']",50%
膀胱过度活动症,"['药物治疗', '对症治疗', '康复治疗']","['内科', '泌尿内科']",80%
老年人环咽肌功能障碍,"['病因治疗', '手术治疗', '康复治疗']","['内科', '消化内科']",70%
阴茎阴囊象皮肿,"['药物治疗', '支持性治疗']","['外科', '泌尿外科']",80%
急性丙肝,"['药物治疗', '对症治疗', '支持治疗']",['传染科'],90%以上
阴道斜隔,"['手术治疗', '支持性治疗']","['妇产科', '妇科']",70%
老年人霍奇金淋巴瘤,"['药物治疗', '放射治疗']","['内科', '血液科']",80%
阴茎折断,"['手术治疗', '支持性治疗']",['男科'],89%
胃气上逆,['药物治疗'],"['内科', '消化内科']",89%
阴道血管肉瘤,"['手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",20--30%
银屑病关节炎及其伴发的葡萄膜炎,"['药物治疗', '支持性治疗', '对症治疗']","['五官科', '眼科']",70%
拇囊炎,"['手术治疗', '对症治疗', '康复治疗']","['外科', '骨外科']",90%
阴道血吸虫病,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",70%
隐斜,"['手术治疗', '康复治疗', '支持性治疗']","['五官科', '眼科']",30%
肺泡癌,"['手术治疗', '药物治疗']","['外科', '心胸外科']",100%
老年人急腹症,"['内科治疗', '手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",外科手术治愈率约为75%
阴道异物,"['药物治疗', '支持性治疗', '手术治疗']","['妇产科', '妇科']",80%
婴儿成神经细胞瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",10%
脾梗死,"['手术治疗', '对症治疗', '康复治疗']","['外科', '普外科']",60%-70%
肝结石,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '肝胆外科']",90%
婴儿痤疮,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%(经过一般皮肤用药后，90%以上都能有效治愈。)
老年人急进性肾炎,"['药物治疗', '对症治疗', '介入治疗', '手术治疗', '康复治疗']","['内科', '肾内科']",75%
肛乳头瘤,"['坐浴，直肠给药，手术治疗', '，冷冻治疗']","['外科', '肛肠科']",90%
阴道转移性肿瘤,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",50-70%
婴儿肌纤维瘤病,"['手术治疗', '支持性治疗', '康复治疗']","['肿瘤科', '肿瘤外科']",92%，广泛性损害，死亡率高，可达80%
老年人急性非淋巴细胞白血病,"['药物治疗', '支持治疗']","['内科', '血液科']",30-40%
脾肾两虚,"['药物治疗', '支持治疗']","['中医科', '中医综合']",90%
婴儿期短暂性低丙球蛋白血症,"['药物治疗', '支持性治疗']","['内科', '血液科']",80%
阴道子宫内膜间质肉瘤,"['手术治疗', '药物治疗', '放射治疗']","['肿瘤科', '肿瘤外科']",85%
老年人急性感染后肾炎,"['对症治疗', '药物治疗', '透析治疗', '支持性治疗', '中医治疗', '康复治疗']","['内科', '肾内科']",56%
跟腱炎,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '骨外科']",80%
阴沟肠杆菌感染,"['中医治疗', '支持性治疗']",['传染科'],60-75%
老年人急性呼吸窘迫综合征,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",30%-70%
婴儿青铜综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",95%
阴茎结核疹,"['药物治疗', '支持性治疗']",['传染科'],90%
老年人急性阑尾炎,"['手术治疗', '药物治疗', '支持性治疗', '康复治疗']","['外科', '普外科']",75%
小肠下垂,"['手术治疗', '支持治疗', '康复治疗', '中药治疗']","['内科', '消化内科']",90%
婴幼儿外阴阴道炎,"['药物治疗', '对症治疗', '康复治疗']","['儿科', '儿科综合']",90%
阴茎离断伤,"['手术治疗', '支持性治疗']",['男科'],60%
老年人急性淋巴细胞白血病,"['对症治疗', '药物治疗', '放射性治疗', '手术治疗', '支持性治疗']","['内科', '血液科']",对症治疗为主，很难根治，大于45岁无法骨髓移植
关节退行性变,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '骨外科']",80%
阴茎扭转,"['手术治疗', '支持性治疗']",['男科'],80%
硬脑膜外脓肿,"['药物治疗', '康复治疗', '手术治疗']","['外科', '神经外科']",治愈率86%
小儿过敏性支气管炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
老年人急性肾功能衰竭,"['药物治疗', '康复治疗', '支持性治疗']","['内科', '肾内科']",50%
硬肿症,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",70%
阴茎前阴囊,"['手术治疗', '药物治疗', '支持性治疗']",['男科'],80%
老年人急性胰腺炎,"['手术治疗', '药物治疗', '支持性治疗', '康复治疗']","['外科', '肝胆外科']",60%
阴茎头包皮炎,"['药物治疗', '支持性治疗']",['男科'],80%
阴囊癌,"['手术治疗', '化疗', '放疗']","['外科', '泌尿外科']",0.1%
尤因肉瘤,"['手术治疗', '支持性治疗', '康复治疗']","['肿瘤科', '肿瘤内科']",10%
阴囊坏疽,"['手术治疗', '支持性治疗']",['男科'],80%
龟头癌,['手术治疗'],['男科'],60%
疣状癌,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",40%
小脑梗塞,"['药物治疗', '支持性治疗']","['内科', '神经内科']",70%
阴囊损伤,"['手术治疗', '支持性治疗']",['男科'],85%
疣状角化不良病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",65%
老年人急性左心衰竭,"['对症治疗', '药物治疗', '支持性治疗']",['急诊科'],需要终身治疗
阴囊炎性癌,"['药物治疗', '康复治疗', '手术治疗']","['肿瘤科', '肿瘤内科']",1.6%
幼年型类风湿性关节炎,"['药物治疗', '手术治疗', '支持性治疗', '康复治疗']","['儿科', '小儿内科']",75%
老年人脊髓压迫症,"['药物治疗', '放射性治疗', '手术治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",60%
慢性病,"['药物治疗', '对症治疗', '康复治疗']","['内科', '呼吸内科']",10-20%
原发性肺动脉高压,"['药物治疗', '支持性治疗']","['内科', '心内科']",10%～20%（当今如能早期诊断，及时治疗，约10%～20%患者的病情可停止发展，甚至有某种程度的恢复。）
银屑病关节炎性巩膜炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",15%-30%
老年人脊髓亚急性联合变性,"['药物治疗', '支持性治疗']","['内科', '神经内科']",30-40%
过敏性湿疹,"['药物治疗', '支持性治疗', '物理治疗']","['皮肤性病科', '皮肤科']",95%
原发性骨淋巴瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",80%
银屑病甲,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%
老年人甲减性心脏病,"['药物治疗', '康复治疗']","['内科', '心内科']",80%
小细胞低色素性贫血,"['药物治疗', '支持性治疗']","['内科', '血液科']",95%
原发性卵巢类癌综合征,"['手术治疗', '药物治疗', '化学治疗', '支持性治疗']","['妇产科', '妇科']",外科手术治愈率约为50-60%
老年人甲亢性心脏病,"['对症治疗', '药物治疗', '手术治疗', '放射性治疗', '支持性治疗', '康复治疗']","['内科', '心内科']",70%
老年人甲状腺癌,"['手术治疗', '药物治疗', '支持性治疗', '康复治疗']","['肿瘤科', '肿瘤外科']",50%
原发性下肢深静脉瓣膜关闭不全,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '普外科']",65%
银屑病性关节炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",75%
远端肾小管性酸中毒,"['药物治疗', '支持性治疗']","['内科', '肾内科']",85%
老年人甲状腺功能低下,"['对症治疗', '药物治疗', '支持性治疗', '康复治疗']","['内科', '内分泌科']",60%
喉息肉,['小的声带息肉可以药物治疗消退，多数需要手术治疗，有多种手术方式'],"['五官科', '耳鼻喉科']",80%
隐匿型乳腺癌,"['手术治疗', '药物治疗', '支持治疗']","['肿瘤科', '肿瘤外科']",70%
月骨脱位及月骨周围脱位,"['康复治疗', '手术治疗', '支持性治疗']","['外科', '骨外科']",外科手术治愈率约为65%
老年人甲状腺功能亢进危象,"['药物治疗', '支持性治疗', '康复治疗']",['急诊科'],30%
运动诱发哮喘,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",95%
隐匿型肾炎,"['药物治疗', '康复治疗']","['内科', '肾内科']",60%
老年人甲状腺功能亢进症,"['药物治疗', '介入治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",30%
婴儿腹部远心性脂肪营养不良,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",95%
晕痣,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",99%
老年人假膜性小肠结肠炎,"['药物治疗', '支持治疗']","['外科', '普外科']",70%
婴儿及儿童期癫痫及癫痫综合征,"['药物治疗', '支持性治疗']","['内科', '神经内科']",需要终身治疗，目前不能治愈
跗骨与周围关节结核,"['药物治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",81.5%
心房肥大,"['药物治疗', '手术治疗']","['内科', '心内科']",75%
老年人间质性肺炎,"['药物治疗', '中医治疗', '手术治疗', '支持性治疗']","['内科', '呼吸内科']",80%
婴儿痉挛症,"['药物治疗', '支持性治疗', '手术治疗']","['儿科', '小儿内科']",98%
早期复极综合征,['一般不需特殊治疗、若合并神经循环异常，可给予对症处理'],"['内科', '心内科']",75%
老年人结肠憩室,"['药物治疗', '对症治疗', '手术治疗', '支持性治疗', '康复治疗']","['内科', '消化内科']",60%
增龄性黄斑变性,"['药物治疗', '支持性治疗']","['五官科', '眼科']",50%-70%%
婴儿肉毒中毒综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",70%
蛰伏脂瘤,"['手术治疗', '药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",70%
婴儿纤维错构瘤,"['药物治疗', '支持性治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",60%
真两性畸形,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '泌尿外科']",手术治疗，切除卵巢或者睾丸，治愈率30-70%
老年人结肠息肉,"['手术治疗', '药物治疗', '康复治疗', '支持性治疗']","['内科', '消化内科']",90%
心脑血管疾病,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '神经内科']",45%
老年人结核性脑膜炎,"['中医治疗', '药物治疗', '对症治疗', '支持性治疗']",['传染科'],20%
婴儿黑矇性痴呆,"['药物治疗', '支持性治疗']","['儿科', '儿科综合']",30%
青春型精神分裂症,"['手术治疗', '对症治疗', '康复治疗']",['精神科'],40%
老年人结节病,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '呼吸内科']",20-50%
枕骨大孔脑膜瘤,"['手术治疗', '药物治疗', '康复治疗']","['外科', '神经外科']",60%
婴儿性骨皮质增生症,"['支持性治疗', '康复治疗']","['外科', '骨外科']",60%，以对症治疗为主
老年人颈性眩晕,"['中医治疗', '复位治疗', '支持性治疗', '康复治疗', '手术治疗']","['内科', '神经内科']",45%-65%
老年人酒精性肝病,"['药物治疗', '对症治疗', '支持性治疗']",['肝病'],45%
婴儿肢端脓疱病,"['药物治疗', '康复治疗']","['皮肤性病科', '皮肤科']",65%-80%
婴儿肢端脓皮病,"['药物治疗', '康复治疗']","['皮肤性病科', '皮肤科']",75%
老年人酒精性心脏病,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '心内科']",20%
疱疹性咽颊炎,"['药物治疗', '对症治疗', '康复治疗']","['五官科', '耳鼻喉科']",95%以上
脂蛋白肾小球病,"['药物治疗', '支持性治疗']","['内科', '肾内科']",65%
老年人巨幼细胞性贫血,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '血液科']",治愈率89%
婴儿指趾纤维瘤病,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '普外科']",95%
韧带炎,"['药物治疗', '对症治疗', '康复治疗']","['外科', '骨外科']",80%
脂肪栓塞综合征,"['对症治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",60%
老年人扩张型心肌病,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '心内科']",需要终身治疗
直肠内套叠,"['手术治疗', '药物治疗']","['外科', '肛肠科']",98%
牙结石,['超声洁治或者刮治'],"['五官科', '口腔科']",100%
老年人类风湿性关节炎,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",0%需要终身治疗
婴幼儿胃食管反流,['药物治疗如促胃肠动力剂与止酸剂，注意饮食调节、半卧位，药物治疗无效者考虑手术治疗如胃底折叠术'],"['儿科', '小儿内科']",85%
直肠膨出,"['手术治疗', '支持性治疗']","['外科', '肛肠科']",55-75%
老年人流行性感冒,"['药物治疗', '支持性治疗', '康复治疗']","['内科', '呼吸内科']",95%
直肠子宫内膜异位症,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",70%
老年人颅内压增高,"['药物治疗', '对症治疗', '放射性治疗', '手术治疗', '康复治疗']",['急诊科'],40%
牙龈瘘管,"['药物治疗', '支持治疗']","['五官科', '口腔科']",90%
婴幼儿型内斜视,"['康复治疗', '支持性治疗', '手术治疗']","['五官科', '眼科']",85%
植物神经系统肿瘤,"['手术治疗', '康复治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",30%
老年人慢性疾病性贫血,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '血液科']",60%
咽喉癌,"['药物治疗', '对症治疗', '康复治疗', '手术']","['五官科', '耳鼻喉科']",70%
跖骨骨折,"['支持性治疗', '康复治疗']","['外科', '骨外科']",70%
老年人慢性粒细胞白血病,"['药物治疗', '手术治疗']","['内科', '血液科']",一般85%可以控制
鹦鹉热,"['中医治疗', '支持性治疗']",['传染科'],40%
指骨骨折,"['康复治疗', '支持性治疗']","['外科', '骨外科']",95%
