disease_name,check_method
狼疮肾炎,"['尿常规', '自身免疫抗体检测', '抗双链脱氧核糖核酸抗体（dsDNA）', '尿γ-谷氨酰转移酶', '血液生化六项检查', '抗淋巴细胞抗体（ALA）']"
卵巢宫内膜样肿瘤,['肿瘤标志物检测']
坐骨神经损伤,"['CT检查', '直腿抬高试验', '肌电图', '神经系统检查', '弓弦试验', '深反射检查', '旋转试验', '内拉通线检查']"
蓝痣,"['细胞组织化学染色', '真菌组织病理学', '涂片', '血液检查']"
卵巢冠囊肿,['腹部平片']
Mirizzi综合征,"['胆囊胆道B超检查', '肝、胆、胰、脾的MRI检查', '肝、胆、脾CT检查', '胆道造影', '口服胆囊造影']"
卵巢过度刺激综合征,"['肾功能检查', '腹部平片']"
盲襻综合征,"['14C呼气试验', '呼气试验']"
卵巢环管状性索肿瘤,"['雌激素试验', '肿瘤标志物检测']"
尼兹诺夫综合征,"['自身免疫抗体检测', '血常规', '涂片', '便常规', '尿常规']"
巴贝虫病,"['血清学反应', '选择性蛋白尿指数', '选择性蛋白尿指数', '尿常规', '涂片', '寄生虫血液检查']"
卵巢黄体囊肿破裂,['腹腔镜']
卵巢混合性生殖细胞-性索间质肿瘤,['涂片']
农药中毒所致的精神障碍,"['脑电图检查', '尿常规', '心电图', '血液检查']"
卵巢肌肉来源肿瘤,['肿瘤标志物检测']
囊状淋巴管瘤,"['CT造影扫描', '胸部B超', 'CT检查']"
卵巢浆液性肿瘤,"['肿瘤标志物检测', '三合诊']"
铍及其化合物引起的皮肤病,"['血常规', '心电图', '脑电图检查', '二硝基氯苯斑贴试验', '尿常规', '便常规']"
卵巢交界性肿瘤,['癌抗原125（CA125）']
卵巢颗粒细胞瘤,"['核磁共振成像(MRI)', 'CT检查', '孕激素', '雌激素', '涂片']"
卵巢两性母细胞瘤,"['皮肤涂片显微镜检查', '雌激素', '肿瘤标志物检测']"
POEMS综合征,"['血清学反应', '血常规', '尿常规', '血液生化六项检查']"
Alagille综合征,"['心血管造影', '尿常规']"
卵巢卵黄囊瘤,"['肿瘤标志物检测', '肿瘤放射免疫显像（RII）']"
器械性食管损伤,"['食管钡餐透视', '胸部透视', '血常规', '食管造影']"
情感性心境障碍,"['血常规', '血液生化六项检查', '尿常规', '神经系统检查', '血液电解质检查']"
肩周炎,"['肩关节外展试验', '造影检查', '四肢的骨和关节平片', '反弓抗阻试验', '科德曼征', '落臂试验']"
卵巢泡膜细胞瘤,"['孕酮', '雌二醇', '卵巢检查']"
水母皮炎,"['皮肤涂片显微镜检查', '心电图', '脑电图检查', '颅脑CT检查']"
白睛溢血,"['眼及眶区CT检查', '结膜的检查', '眼底检查', '眼底荧光血管造影', '眼底微血管检查', '视力']"
四肢淋巴水肿,"['淋巴显像', '血管造影']"
白痢,"['粪便白细胞', '尿常规', '血常规', '粪细菌培养', '粪便性状', '粪便显微镜检查', '便常规']"
卵巢妊娠,['腹腔镜']
白膜侵睛,"['脉搏', '眼底检查', '眼底接触镜', '近视力检查法']"
卵巢透明细胞肿瘤,"['肿瘤标志物检测', '血清钙', '血液电解质检查']"
白秃疮,"['皮肤涂片显微镜检查', '血常规', '皮肤病的物理检查']"
十二指肠炎,"['十二指肠钡餐造影', '胃泌素', '内镜检查']"
卵巢未成熟畸胎瘤,"['腹腔镜', '腹部平片']"
白屑风,"['皮肤涂片显微镜检查', '皮肤真菌镜检', '皮肤病的物理检查']"
十二指肠重复畸形,"['十二指肠钡餐造影', '胃肠道CT检查', '双合诊', 'CT检查']"
卵巢无性细胞瘤,"['核磁共振成像(MRI)', '肿瘤标志物检测', '盆腔和阴道B超', 'CT检查']"
白淫,"['阴道分泌物涂片检查', '阴道分泌物检查', '便常规', '尿常规', '血常规']"
史密斯骨折,"['普通透视检查(透视)', '神经系统细胞学检查', '四肢透视', '全身软组织MRI检查', 'CT检查']"
卵巢纤维瘤,['肿瘤标志物检测']
食管受压性吞咽困难,"['食管钡餐透视', '食管造影', '内镜检查', '二维超声心动图', '造影检查']"
卵巢纤维瘤病,"['阴道分泌物检查', '肿瘤标志物检测']"
食管肉瘤,"['核磁共振成像(MRI)', '食管钡餐透视', '内镜检查', 'CT检查', '胸部平片']"
卵巢纤维组织来源肿瘤,['肿瘤标志物检测']
胞痹,"['尿常规', '膀胱叩诊', '膀胱残余尿量测定', '血常规', '膀胱镜', '输尿管超声检查', '泌尿系统CT检查', '膀胱触诊', '便常规']"
卵巢小细胞癌,['肿瘤相关抗原']
食管蹼和食管环,"['内镜检查', '上消化道摄影检查', '食管造影', '血常规']"
胞生痰核,"['眼科检查', '眼睑检查', '眼功能检查', '血常规']"
卵巢硬化性间质瘤,['胸部平片']
食管贲门黏膜撕裂综合征,"['冠状动脉造影', '食道X线钡餐检查', '胃镜']"
暴痢,"['粪便白细胞', '粪便隐血试验(OBT)', '间接免疫荧光试验', '便常规', '尿常规', '血常规']"
卵巢肿瘤,"['CT检查', '核磁共振成像(MRI)', '胃镜', '肠镜', '腹腔镜', '脏器声学造影']"
食管壁内憩室,"['食管钡餐透视', '胸部平片', '胸部透视', '内镜检查']"
暴泻,"['粪便白细胞', '肠鸣音', '腹部CT', '腹部外形触诊', '腹部听诊']"
食管外压和牵拉,"['胸部MRI', '食管造影', '胸部CT检查', '食管钡餐透视', '血常规']"
卵巢肿瘤破裂,['肿瘤标志物检测']
背痈,"['脓汁和创伤感染标本细菌学检查', '血常规', '皮肤涂片显微镜检查', '便常规']"
沙雷菌肺炎,"['痰液常规检查', '胸部透视', '血常规', '药敏试验']"
卵巢重度水肿,"['性激素六项检查', '盆腔和阴道B超', '卵巢检查']"
奔豚气,"['腹部平片', '腹部听诊', '腹部叩诊', '便常规', '尿常规', '血常规', '心电图', '腹部MRI检查']"
卵黄状黄斑营养不良,['血管造影']
听力障碍,"['心电图', '血常规', '血液电解质检查', '脑脊液一般性状检查', '纯音听力计检查法', '语音试验']"
崩漏,"['血常规', '子宫及附件检查', '妇科超声检查', '卵泡检测', '排卵预测试纸']"
卵泡囊肿,['肿瘤标志物检测']
糖原贮积病,['多普勒超声心动图']
鼻疔,"['涂片', '鼻前庭', '血常规', '皮肤涂片显微镜检查', '尿常规', '便常规']"
卵泡腺细胞增殖综合征,"['血液电解质检查', '地塞米松抑制试验']"
鼻鼽,"['鼻粘膜及鼻腔分泌物', '血常规', '耳鼻咽喉CT检查', '鼻腔内镜检查', '鼻咽部MRI检查', '鼻腔检查', '鼻部功能检查', '便常规', '尿常规']"
特发性肺含铁血黄素沉着症,"['肺活检', '胸部CT检查', '肺功能检查', '支气管镜检查', '血清学反应', '心电图']"
螺菌病,['涂片']
闭经性头痛,"['脑电图检查', '妇科超声检查', '脑血流图', '颅脑MRI检查', '神经系统检查', '脑血管造影', '颅脑CT检查', '妇科常规检查']"
无机盐所致的皮肤病,"['皮肤涂片显微镜检查', '玻片压诊法', '皮肤病的物理检查', '涂片']"
瘰疬分枝杆菌感染,['浆细胞']
胃窦血管扩张症,"['血常规', '便常规', '超声内镜检查', '胃镜']"
瘰疬性皮肤结核病,"['结核菌素试验（OT,PPD）', '胸部平片', '梅毒血清试验', '皮损', '涂片']"
痹证,"['类风湿因子（RF）', '四肢的骨和关节平片', '尿常规', '便常规', '血常规']"
稳定型心绞痛,"['心电图', '血常规', '冠状动脉造影']"
瘰疬性苔藓,['皮疹']
玻璃体疝,"['眼科检查', '视力']"
网状红斑萎缩性毛囊炎,"['颅脑CT检查', '血液电解质检查', '真菌组织病理学', '颅脑MRI检查', '涂片']"
洛博芽生菌病,['真菌组织病理学']
先天性尺骨缺如,"['血常规', '骨与关节MRI检查', 'CT检查']"
蚕豆病,"['不稳定血红蛋白', '变性球蛋白(Heinz)小体染色试验', '硝基四唑氮蓝试验', '高铁血红蛋白还原试验', '变性球蛋白(Heinz)小体生成试验', '心电图', '球形红细胞', '葡萄糖-6-磷酸脱氢酶缺乏症筛查', '脾脏超声检查', '葡萄糖6-磷酸脱氢酶荧光斑点试验']"
先天性腓骨缺如,['一般摄片检查']
疟疾肾病,"['骨髓细菌培养', '免疫电泳', '血凝试验', '环卵沉淀试验', '酶联免疫吸附试验', '免疫学检测', '涂片']"
产后喘促,"['血常规', '尿常规', '胸部平片', '便常规']"
诺卡菌性巩膜炎,"['眼标本的细菌学检查', '浆细胞']"
小儿洋地黄中毒,"['尿常规', '唾液钾', '心电图', '血液电解质检查', '便常规']"
产后风,"['子宫与附件肿块', '阴道分泌物检查', '便常规', '尿常规', '血常规']"
巯甲丙脯酸肾损害,"['尿常规', '血常规']"
小儿帕套综合征,"['羊水细胞培养染色体检查', '脑电图检查', '心电图']"
产后痉症,"['尿常规', '便常规', '血常规', '肌电图', '心电图', '脑电图检查', '颈项强直']"
乳房单纯囊肿,"['核磁共振成像(MRI)', '钼靶X线检查', '涂片']"
小肠扭转,"['腹部叩诊', '腹部平片', '腹部CT', '腹部听诊', '直肠指检', '胃肠道CT检查', '肠鸣音', '口服法小肠造影']"
产后劳伤,"['腰背部检查', '血常规', '腰部活动度', '尿常规', '腰背痛体格检查', '便常规', '肾脏超声检查']"
乳头溢液,"['乳头溢液检查', '乳腺导管造影', '浆细胞', '钼靶X线检查']"
小儿小颌畸形综合征,"['胸部透视', '多普勒超声心动图', '心电图', '血液电解质检查', '周围血白细胞计数及分类检验']"
产后目病,"['眼睑检查', '泪液分泌试验', '眼底检查', '挤压泪囊试验']"
须部假毛囊炎,"['皮肤涂片显微镜检查', '细胞组织化学染色', '真菌组织病理学', '涂片']"
乳腺导管扩张症,"['钼靶X线检查', '涂片', '浆细胞', '乳管镜检查']"
产后三冲,"['产后检查', '血常规', '心电图', '胸部平片', '尿常规', '便常规', '胃超声检查']"
先天性食管憩室,"['胸部平片', '胸部透视', '胸部MRI', '食管钡餐透视', '内镜检查']"
产后三急,"['尿常规', '产后检查', '胃肠道疾病的超声检查', '便常规', '血常规']"
小儿先天性卵巢发育不全,"['羊水细胞培养染色体检查', '染色体核型分析', '盆腔和阴道B超', '多普勒超声心动图']"
乳腺囊性增生病,"['近红外线乳腺扫描检查', '乳腺导管造影', '钼靶X线检查', '涂片']"
产后伤食,"['胃超声检查', '尿常规', '胃肠道功能动力学检查', '胃部检查', '腹部平片', '血常规', '便常规']"
乙型病毒性肝炎,"['抗丁型肝炎病毒IgG抗体', '乙型肝炎表面抗原', '乙型肝炎病毒抗-前S2抗体', '乙型肝炎病毒前S2抗原', '乙型肝炎核心抗体免疫球蛋白G', '血清丙氨酸氨基转移同工酶', '乙肝两对半', '乙型肝炎病毒e抗原（HBeAg）', '尿常规', '尿胆汁酸']"
产后虚羸,"['便常规', '尿常规', '血常规', '产后检查']"
乳腺腺病,['钼靶X线检查']
中枢神经系统淋巴瘤,"['脑脊液细胞学检查', '核磁共振成像(MRI)', '心电图', '血常规', '头颅平片', '位置觉', '运动觉', 'CT检查']"
右室心肌梗死,"['胸部透视', '多普勒超声心动图', '心电图', '血清学反应', '血液电解质检查']"
产后血虚热,"['尿常规', '便常规', '血常规']"
Machado-Joseph病,['颅脑MRI检查']
幽门螺杆菌感染,"['胃液尿素测定', '细菌的CAMP试验', '直接涂片检查', '细胞组织化学染色', '尿素酶试验', '幽门螺旋杆菌的免疫学检测', '幽门螺旋杆菌血清学测试']"
产后血瘀,"['子宫位置', '凝血酶原时间（PT）', '凝血酶时间', '活化部分凝血活酶时间（APTT）', '产后检查', '尿常规', '血常规', '便常规']"
Morton跖头痛,"['四肢的骨和关节平片', '四肢CT检查', 'X线碘油造影']"
产褥中暑,"['神经系统检查', '便常规', '尿常规', '血液电解质检查', '血常规']"
麻痹性痴呆,"['血液检查', '脑脊液非蛋白氮', '脑脊液梅毒血清补体结合反应', '脑脊液镁']"
颤证,"['肌电图', '神经系统检查', '颅脑CT检查', '脑电图检查', '颅脑MRI检查']"
麻风性葡萄膜炎,"['抗甲状腺球蛋白抗体', '浆细胞', '类风湿因子', '抗平滑肌抗体']"
真菌性心包炎,"['胸部透视', '血常规', '胸部平片', '真菌培养检查', '涂片']"
麻风性周围神经病,"['血液检查', '皮损', '二硝基氯苯试验']"
肠风,"['便常规', '血常规', '粪便显微镜检查', '尿常规', '粪便白细胞']"
真菌性巩膜炎,"['眼科检查', '细胞组织化学染色', '视力', '药敏试验', '真菌培养检查']"
麻疹样红斑,['抗麻疹病毒抗体']
肠结,"['腹部平片', '血液电解质检查', '血常规', '尿常规', '血液生化六项检查']"
马尔尼菲青霉病,"['CT检查', '胸部平片', '真菌培养检查']"
肠郁,"['尿常规', '血常规', '气钡双对比造影', '肌电图', '粪便白细胞', '肠镜', '便常规']"
马方综合征,"['裂隙灯', '透明质酸']"
常染色体隐性遗传性脑动脉病伴白质脑病,"['血液生化六项检查', '颅脑MRI检查', '颅脑CT检查', '角质蛋白19片段(CYFRA21-1)']"
马拉色菌病,['真菌组织病理学']
巴西紫热,"['白细胞分类计数', '脑脊液细菌培养']"
潮热,"['心电图', '血液电解质检查', '便常规', '尿常规']"
脉络丛乳头状瘤,"['核磁共振成像(MRI)', '脑血管造影', 'CT平扫', 'CT检查']"
成人肥大性幽门狭窄,"['胃镜', '便常规', '胃钡餐造影', '血常规', '基础胃液分泌量/最大胃酸排量', '尿常规', '细胞组织化学染色']"
赤白游风,"['血管视诊', '便常规', '局部淋巴显象', '尿常规', '血常规', '皮疹']"
脉络膜出血,['凝血时间']
多乳房,"['血常规', '钼靶X线检查', '涂片', '细胞组织化学染色']"
脉络膜骨瘤,"['血管造影', 'CT检查', '视力']"
赤痢,"['粪便白细胞', '粪细菌培养', '血常规', '便常规', '乙状结肠镜检查', '尿常规', '粪便寄生虫']"
低钾血症肾病,"['安体舒通试验', '血液电解质检查', '造影检查', '血液检查', '尿常规']"
赤脉传睛,"['结膜的检查', '眼底微血管检查', '眼底检查']"
脉络膜脱离,"['血管造影', 'CT检查', '核磁共振成像(MRI)', '巩膜透照', '眼底荧光血管造影']"
非ST段抬高心肌梗死,"['血清学反应', '血液生化六项检查', '多普勒超声心动图', '血液检查', '心电图']"
赤脉贯布,"['眼底镜检查法', '眼功能检查', '眼底微血管检查', '眼底检查']"
脉络膜脱离型视网膜脱离,"['CT检查', '眼底检查']"
脉络膜新生血管,"['血管造影', '眼底荧光血管造影']"
赤膜下垂,"['尿常规', '眼底镜检查法', '血常规', '便常规', '眼底检查', '眼底荧光血管造影']"
肝脏疾病所致贫血,['维生素B1']
脉络膜血管瘤,"['核磁共振成像(MRI)', 'CT检查', '血管造影', '前置镜', '三面镜']"
赤丝虬脉,"['视力', '眼底检查', '眼底微血管检查', '眼底荧光血管造影', '结膜的检查']"
高颅压性脑积水,"['颅脑CT检查', '尿常规', '颅脑MRI检查', '脑脊液的化学检查', '血常规']"
螨皮炎,['皮疹']
赤游丹,"['尿常规', '血常规', '便常规']"
急性蜂窝织炎,"['CT检查', '药敏试验', '糖化血清蛋白（GSP）']"
虫臌,"['腹部外形触诊', '粪便寄生虫', '腹部平片', '肾功能检查', '腹部透视', '寄生虫检查的直接涂片法']"
脊膜瘤,"['核磁共振成像(MRI)', 'X线碘油造影', '造影检查', 'CT平扫', '压颈试验']"
虫积,"['粪便寄生虫', '免疫学检测', '便常规', '粪寄生虫卵', '胃钡餐造影', '寄生虫检查的直接涂片法', '尿常规', '腹部平片']"
急性视网膜坏死综合征,"['眼底荧光血管造影', '三面镜']"
虫证,"['粪便寄生虫', '粪寄生虫卵', '尿常规', '血常规', '便常规', '寄生虫检查的直接涂片法', '腹部平片']"
喘证,"['肺功能检查', '动脉血气分析', '胸部透视', '胸部平片', '尿常规']"
慢性创伤性滑囊炎,"['CT检查', 'X线碘油造影', '骨骼触诊']"
疮疡,"['脓汁和创伤感染标本细菌学检查', '皮肤涂片显微镜检查', '尿常规', '便常规', '皮肤真菌镜检', '细菌的鉴定']"
慢性颈部软组织损伤,"['CT检查', 'X线碘油造影', '骨骼触诊']"
免疫缺陷性肺炎,"['胸部平片', '胸部透视', '胸腔积液免疫化学检查', '酶联免疫吸附试验', '免疫学检测']"
大肠湿热,"['涂片', '粪细菌培养', '真菌培养检查', '免疫学检测', '酶联免疫吸附试验', '尿常规', '肠镜']"
慢性酒中毒,"['核磁共振成像(MRI)', '血液检查', '心电图', '脑电图检查', 'CT检查', '肌电图']"
小儿尿路感染,"['尿液细菌培养', '血液检查', '肾静态显像', '直接涂片检查']"
大头瘟,"['便常规', '尿常规', '病毒感染免疫检测', '细菌的鉴定', '血常规', '特殊细菌涂片检查']"
小儿肾性氨基酸尿症,"['尿沉渣', '血液检查', '腹部平片', '颅脑CT检查', '脑电图检查']"
带下病,"['阴道分泌物检查', '妇科超声检查', '经阴道超声', '便常规', '阴道清洁度检查', '尿常规', '阴道妇科常规检查']"
慢性卡他性结膜炎,['涂片']
原发性阿米巴脑膜脑炎,"['脑脊液细菌培养', '白细胞分类计数', '颅脑CT检查', '直接涂片检查']"
慢性溃疡性非肉芽肿性空肠回肠炎,"['维生素B1', '十二指肠钡餐造影', '血常规', '肠镜']"
丹痧,"['尿常规', '便常规', '皮疹', '血常规']"
阿克森费尔德-里格尔综合征,"['眼底荧光血管造影', '眼底检查', '眼科检查']"
胆咳,"['尿常规', '十二指肠引流一般性状检查', '静脉胆囊、胆道造影', '胸部平片', '血常规', '便常规']"
慢性劳损性腰背痛,"['骨骼触诊', 'X线碘油造影', 'CT检查']"
Austin型幼儿脑硫脂病,"['尿液分析', '血液生化六项检查', '血常规', '颅脑CT检查']"
胆热,"['粪胆红素', '胆囊胆道B超检查', '静脉胆囊、胆道造影']"
慢性盆腔炎,"['阴道分泌物检查', '腹腔镜', '血常规', '妇科检查', '腹部包块', '肿瘤标志物检测']"
阿司匹林诱发哮喘,"['药敏试验', '尿常规', '支气管肺泡灌洗术（BAL）']"
慢性肾性贫血,"['红细胞生成素', '骨髓象分析', '心电图', '血栓素B2', '涂片']"
慢性腰部劳损,"['腰部活动度', 'CT检查']"
海绵状淋巴管瘤,"['CT检查', '涂片', '体位']"
胆石,"['粪胆原', '间接胆红素', '直接胆红素', '直接胆红素与总胆红素比值', '胆囊超声波检查', '凝血酶原时间（PT）', '血清铁/铜比值', '胆道造影', '腹部平片']"
慢性自身免疫性甲状腺炎,['过氯酸钾释放试验']
颈椎单侧及双侧小关节脱位,"['体层摄影', '颈部MRI检查', 'CT检查']"
胆胀,"['胃镜', '胆道造影', '十二指肠引流一般性状检查', '腹部平片', '心电图', '纤维胃镜', '粪胆原']"
脊髓血管畸形,"['核磁共振成像(MRI)', '血管造影', 'CT造影扫描']"
慢性纵隔炎,"['血管造影', 'CT检查']"
癫病,"['颅脑CT检查', '脑电图检查', '神经系统检查', '尿常规', '便常规']"
酒精中毒性肌病,"['颅脑MRI检查', '心电图', '脑电图检查', '血液检查', '颅脑CT检查', '肌电图']"
慢性阻塞性肺疾病,"['支气管舒张试验', '半饱和氧分压（P50）', '胸部平片', '肺活检', '99Tcm-DTPA肺上皮细胞通透性测定', '肺功能检查', '支气管镜检查', 'CT检查']"
癫狂病,"['颅脑CT检查', '脑电图检查', '神经系统检查', '便常规', '尿常规', '血常规']"
老年大便失禁,"['十二指肠钡餐造影', '肌电图', '便常规', '细菌学检验', '腹部平片', '肠镜', '排粪造影检查']"
盲肠扭转,"['胃肠道疾病的超声检查', '直肠指检', '胃肠道CT检查', '腹部平片', '腹部叩诊', '腹部听诊', '腹部CT']"
盲肠旁疝,"['腹部平片', 'CT检查']"
肋骨骨髓炎,"['胸部透视', '胸部MRI', '胸部CT检查', '胸部B超', '呼吸动度']"
电脑病,"['脊柱运动试验', '脊柱超伸试验', '脊柱MRI检查', '脊柱活动度']"
疔疮,"['皮肤涂片显微镜检查', '皮肤真菌镜检', '尿常规', '血常规', '脓汁和创伤感染标本细菌学检查']"
淋巴细胞性垂体炎,"['抗甲状腺过氧化物酶抗体', '自身免疫抗体检测', '头颅平片', '颅脑MRI检查', '脑垂体CT检查']"
毒热侵肤,"['皮肤涂片显微镜检查', '便常规', '尿常规', '血常规', '皮肤真菌镜检', '脓汁和创伤感染标本细菌学检查']"
猫抓病,"['血常规', '酶联免疫吸附试验']"
脑干胶质瘤,"['脑电图检查', '颅脑CT检查', '脑脊液的化学检查', '颅脑MRI检查']"
顿呛,"['尿常规', '便常规', '血常规']"
偏执狂,"['心电图', '血常规']"
毛孢子菌病,"['脑脊液细菌培养', '痰液细菌培养']"
恶寒发热,"['血常规', '心电图', '胸部透视', '腹部平片', '便常规', '尿常规']"
帕金森病性痴呆,"['脑电图检查', '颅脑CT检查', '颅脑MRI检查', '脑脊液一般性状检查', '肌电图']"
毛滴虫病,"['阴道分泌物检查', '阴道毛滴虫检查']"
Stargardt病,"['色觉', '血液电解质检查', '视力', '眼底检查', '眼底荧光血管造影']"
毛根鞘癌,"['细胞组织化学染色', '磁共振平扫', 'CT检查']"
儿童顿咳,"['便常规', '尿常规', '腹部平片', '胸部平片', '心电图', '血常规']"
毛霉病,['真菌检查']
耳疮,"['耳、鼻、咽拭子细菌培养', '耳镜检查法', '听力检查', '耳蜗电图', '外耳道']"
毛母质瘤,['皮损']
毛囊角化病,"['胸部平片', '皮损']"
三叉神经营养性损害,"['血常规', '血液检查', '三叉神经的面部感觉检查', '三叉神经的运动功能检查', '三叉神经检查', '三叉神经检查']"
毛囊瘤,"['真菌组织病理学', '磁共振平扫', 'CT检查']"
糖代谢异常伴发的精神障碍,"['血常规', '血液电解质检查', '便常规', '病理反射检查']"
毛囊漏斗肿瘤,"['浆膜腔积液病原体', 'CT平扫', 'CT造影增强扫描']"
耳疔,"['外耳道', '听力计', '耳镜检查法']"
奥迪括约肌功能异常,"['血液检查', '内镜检查']"
新生儿巨细胞病毒感染,"['血清免疫球蛋白测定', '聚合酶链式反应', '人巨细胞病毒抗体', '脑电图检查', '血液检查', '胆囊胆道B超检查']"
耳疖,"['外耳道', '乳突']"
毛囊脓疱病,"['血常规', '皮疹']"
小儿脑性瘫痪,"['羊水细胞培养染色体检查', '脑电图检查', '轻瘫试验', '颅脑CT检查', '血常规', '便常规']"
毛囊皮脂腺囊性错构瘤,['腹部皮肤检查']
耳痈,"['耳镜检查法', '中耳', '外耳道', '听力检查']"
症状性癫痫综合征,"['脑脊液氨基酸', '颅脑CT检查', '血常规', '血液电解质检查', '便常规', '颅脑MRI检查']"
反社会人格障碍,"['国际标准智力测试', '脑电图检查']"
镇痛剂肾病,"['尿常规', '腹部平片', '肾血管造影']"
毛囊性黏蛋白病,"['浆细胞', '透明质酸', '胶体铁染色']"
反射性神经障碍症,"['尿常规', '血液生化六项检查', '血常规', '便常规']"
毛囊性鱼鳞病,"['皮肤试验', '皮损', '真菌组织病理学']"
周围动脉栓塞,"['血管造影', '心电图', '磁共振血管造影', 'CT血管成像', '脉搏']"
房事头疼症,"['便常规', '血常规', '脑电图检查', '尿常规']"
多发性脑膜瘤,"['尿常规', '颅脑CT检查', '血常规', '颅脑MRI检查', 'CT平扫']"
飞扬喉,"['口腔内窥镜', '便常规', '尿常规', '血常规']"
高眼压症,"['色觉', '非接触眼压计', '视野检查', '眼压计测量法', '眼压描记检查法', '眼压指测法']"
肥疮,"['尿常规', '便常规', '血常规']"
急性腮腺炎性睾丸炎,['尿液分析']
肥气,"['便常规', '尿常规', '腹部透视', '腹部平片', '血常规', '腹部CT']"
克雷白杆菌属感染,"['白细胞分类计数', '尿常规']"
嘧啶5′-核苷酸缺乏症,"['血常规', '血浆因子XIII缺乏筛选试验', '周围血白细胞计数及分类检验']"
毛囊周围纤维瘤,"['皮肤试验', '免疫病理检查', '血常规']"
维生素D缺乏病,"['粪便钙', '粪便磷酸盐', '粪钙', '尿钙(Ca2+,Ca)', '尿钙定性试验', '维生素D（VitD）', '血常规', '血液生化六项检查', '骨碱性磷酸酶', 'CT检查']"
肺闭喘咳,"['尿常规', '肺和胸膜叩诊', '肺功能检查', '血常规', '肺和胸膜听诊', '便常规', '胸部平片']"
毛盘瘤,"['皮肤划痕试验', '毒素皮肤试验']"
维生素E缺乏神经病,"['血液电解质检查', '溶血试验', '病理反射检查']"
肺风粉刺,"['皮肤病的物理检查', '血常规', '便常规', '尿常规']"
毛胚细胞瘤,"['毛发', '真菌组织病理学', '免疫病理检查']"
新生儿发热,"['胸部平片', '脑电图检查', '胸部CT检查', '心电图', '胸部B超', '血常规', '血液电解质检查']"
肺咳,"['痰液显微镜检查', '肺功能检查', '动脉血气分析', '放射过敏原吸附试验(RAST)', '胸部平片', '血常规', '胸部CT检查', '便常规', '尿常规']"
血卟啉病性周围神经病,"['染色体', '肌电图', '血清汞（Hg）', '血液检查', '尿液分析']"
毛鞘棘皮瘤,"['皮损', '真菌组织病理学', '免疫病理检查']"
肺络张,"['尿常规', '血液电解质检查', '血常规', 'X线碘油造影', '胸部平片']"
下丘脑综合征,"['尿游离皮质醇', '脑电图检查', 'TRH兴奋TSH、PRL试验', '促皮质素释放激素（CRH）兴奋试验', '胰岛素低血糖兴奋GH、ACTH试验', 'LHRH试验', '脑血管造影', '复合感觉检查']"
毛细淋巴管瘤,['皮损']
显微镜下多血管炎,"['胸部透视', '脑电图检查', '心电图', '血常规', '血液生化六项检查', '免疫学检测']"
毛细血管或静脉血栓形成,"['血管造影', '磁共振血管造影', '静脉听诊']"
肺气虚,"['胸部平片', 'X线碘油造影', '血常规']"
缢死,"['颅脑MRI检查', '颅脑CT检查', '血液生化六项检查', '血常规', '尿常规', '便常规']"
肺热咳嗽,"['胸部平片', 'X线碘油造影', '尿常规', '血液电解质检查', '血常规']"
毛细血管扩张性共济失调综合征,"['血常规', '闭目行走试验', '颅脑CT检查', '脑电图检查', '血清免疫球蛋白测定', '头颅平片', '脑脊液检查-化学检查-蛋白质检查', '肌电图', '胸部平片']"
百草枯中毒,"['血常规', '便常规', '胸部透视', '周围血白细胞计数及分类检验', '肺部检查', '尿常规']"
肺功能衰竭,"['胸部平片', '血常规', '便常规', '肺功能检查', '尿常规']"
毛细血管扩张性环状紫癜,"['CT检查', '血常规', '皮肤试验']"
复孔绦虫病,"['颅脑CT检查', '粪便显微镜检查', '血常规', '便常规', '脑血管造影']"
肺衰,"['肺功能检查', '尿常规', '便常规', '血常规', '胸部平片']"
毛圆线虫病,['涂片']
鞍结节脑膜瘤,"['脑血管造影', '头颅平片', '颅脑MRI检查', 'CT检查', '视力']"
肺痿,"['肺功能检查', '胸部平片', '血常规', '尿常规', '便常规']"
毛状白斑,"['皮肤试验', '皮肤病的物理检查', '真菌组织病理学']"
过敏性紫癜肾炎,"['尿常规', '血常规', '免疫学检测', '肿瘤坏死因子α', '尿液分析', '肾功能检查']"
肺胀,"['尿常规', '胸部平片', '心电图', '血常规', '便常规', '肺功能检查', '肺和胸膜听诊']"
梅毒性巩膜炎,"['视力', '性病研究实验室试验']"
获得性血友病,"['血常规', '血浆凝血因子XI活性测定']"
梅毒性骨软骨炎,['血清学反应']
女性性高潮障碍,"['盆腔和阴道B超', '甲状腺激素抑制试验', '阴道分泌物检查']"
风痹,"['四肢的骨和关节平片', '尿常规', '抗核抗体（ANA）', '便常规', '类风湿因子', '抗类风湿性关节炎33抗体', '血常规']"
梅毒性关节炎,"['视野检查', '梅毒血清试验']"
脾良性肿瘤,"['腹腔镜', '肝、胆、脾CT检查', '腹部平片', '腹部透视', '血管造影', '冠状动脉造影']"
风寒犯肺,"['胸部透视', '肺和胸膜听诊', '血常规', '便常规', '尿常规']"
梅毒性角膜病变,"['脑脊液检查-化学检查-蛋白质检查', '快速血浆反应素试验']"
葡萄状肉瘤,"['阴道分泌物检查', '盆腔和阴道B超', '涂片']"
风寒感冒,['尿常规']
梅毒性葡萄膜炎,"['性病研究实验室试验', '血管造影', '快速血浆反应素试验', '造影检查']"
失盐性肾炎,"['尿常规', '肾脏CT检查', '血液检查', '尿液分析']"
